北京大学	Peking University
中国人民解放军国防科学技术大学	National Defense Science and Technology University of PLA
中国人民解放军第二军医大学	Second Military Medical University of PLA
第四军医大学	The Fourth Military Medical University
上海交通大学医学院	School of medicine, Shanghai Jiaotong University
中国传媒大学	Communication University of China
中国地质大学(武汉)	China University of Geosciences (Wuhan)
中国石油大学	China University of petroleum
中国石油大学(华东)	China University of Petroleum (East China)
北方工业大学	North University of Technology
北京服装学院	Beijing Institute of fashion
北京印刷学院	Beijing Printing Institute
北京建筑大学	Beijing Jianzhu University
北京石油化工学院	Beijing Institute of petroleum and chemical engineering
北京电子科技学院	Beijing Institute of Electronic Science and technology
北京农学院	Beijing Agricultural University
首都医科大学	capital medical university
首都师范大学	Capital Normal University
首都体育学院	Capital Institute of Physical Education
北京第二外国语学院	Beijing Institute of foreign languages
北京语言大学	Beijing Language and Culture University
北京物资学院	Beijing Institute of materials
外交学院	Institute of Foreign Affairs
中国人民公安大学	People's Public Security University of China
国际关系学院	School of international relations
中国音乐学院	China Conservatory of music
中央美术学院	Central Academy of Fine Arts
中央戏剧学院	Central Academy of drama
中国戏曲学院	China Academy of traditional Chinese opera
北京电影学院	Beijing Film Academy
北京舞蹈学院	Beijing Dance Academy
天津科技大学	Tianjin University of science and technology
天津工业大学	Tianjin Polytechnic University
中国民航大学	Civil Aviation University of China
天津理工大学	Tianjin University of Technology
天津农学院	tianjin agricultural university
天津中医药大学	Tianjin University of traditional Chinese Medicine
天津师范大学	Tianjin Normal University
天津外国语学院	tianjin foreign studies university
天津商业大学	Tianjin Commercial University
天津体育学院	Tianjin Institute of Physical Education
天津音乐学院	Tianjin Conservatory of music
天津美术学院	Tianjin Academy of Fine Arts
河北大学	Hebei University
石家庄经济学院	Shijiazhuang University of Economics
河北科技大学	Hebei University of science and technology
河北建筑工程学院	Hebei Institute of architecture and Engineering
华北煤炭医学院	North China Coal Medical College
承德医学院	Chengde Medical College
河北师范大学	Hebei Normal University
唐山师范学院	tangshan teachers college
廊坊师范学院	Langfang Teachers College
邢台学院	Xingtai University
石家庄铁道学院	Shijiazhuang Railway Institute
山西大学	Shanxi University
山西农业大学	Shanxi Agricultural University
山西医科大学	Shanxi Medical University
长治医学院	Changzhi Medical College
山西师范大学	Shanxi Normal University
太原师范学院	taiyuan normal university
湖北民族学院	Hubei University for Nationalities
湖北文理学院	Hubei University of Arts and Science
武汉体育学院	Wuhan Institute of Physical Education
湖北美术学院	Hubei Academy of Fine Arts
中南民族大学	Central South University for Nationalities
湖北汽车工业学院	Hubei Institute of automobile industry
晋中学院	Jinzhong University
运城学院	yuncheng university
忻州师范学院	xinzhou teachers college
山西财经大学	Shanxi University of Finance and Economics
内蒙古工业大学	Inner Mongolia University of Technology
内蒙古医科大学	Inner Mongolia Medical University
包头医学院	Baotou Medical College
内蒙古师范大学	Inner Mongolia Normal University
内蒙古财经学院	Inner Mongolia University of Finance and Economics
沈阳工业大学	Shenyang University of Technology
沈阳航空工业学院	Shenyang Institute of Aeronautical Technology
辽宁科技大学	Liaoning University of science and technology
辽宁工程技术大学	Liaoning University of engineering and technology
辽宁石油化工大学	liaoning shihua university
沈阳化工学院	Shenyang Institute of Chemical Technology
大连工业大学	Dalian Polytechnic University
辽宁工业大学	Liaoning University of Technology
沈阳农业大学	Shenyang Agricultural University
大连水产学院	dalian fisheries university
中国医科大学	China Medical University
辽宁医学院	Liaoning Medical University
大连医科大学	dalian medical university
辽宁中医药大学	Liaoning University of traditional Chinese Medicine
沈阳药科大学	Shenyang Pharmaceutical University
沈阳医学院	Shenyang Medical College
辽宁师范大学	Liaoning Normal University
沈阳师范大学	Shenyang Normal University
鞍山师范学院	Anshan Normal University
大连外国语大学	Dalian Foreign Studies University
东北财经大学	Dongbei University of Finance and Economics
中国刑事警察学院	Chinese Criminal Police Institute
沈阳体育学院	shenyang sport university
沈阳音乐学院	Shenyang Conservatory of music
鲁迅美术学院	Lu Xun Academy of Fine Arts
长春理工大学	Changchun University of Technology
东北电力大学	Northeast Electric Power University
长春工业大学	Changchun University of Technology
吉林建筑大学	Jilin Jianzhu University
吉林化工学院	Jilin Institute of Chemical Technology
吉林农业大学	Jilin Agricultural University
通化师范学院	tonghua normal university
吉林师范大学	Jilin Normal University
吉林工程技术师范学院	Jilin Normal University of engineering and technology
长春师范大学	changchun normal university
白城师范学院	baicheng normal university
长春税务学院	Changchun Institute of Taxation
吉林体育学院	Jilin Institute of Physical Education
吉林艺术学院	Jilin Art Institute
黑龙江大学	Heilongjiang University
燕山大学	Yanshan University
黑龙江科技大学	Heilongjiang University of science and technology
大庆石油学院	daqing petroleum institute
齐齐哈尔大学	Qiqihar university
黑龙江八一农垦大学	heilongjiang bayi agricultural university
黑龙江中医药大学	Heilongjiang University of traditional Chinese Medicine
牡丹江医学院	mudanjiang medical university
哈尔滨师范大学	harbin normal university
牡丹江师范学院	Mudanjiang Normal College
绥化学院	suihua university
哈尔滨商业大学	Harbin University of Commerce
哈尔滨体育学院	Harbin Institute of Physical Education
上海理工大学	Shanghai University of Technology
上海电力学院	Shanghai Electric Power University
上海水产大学	shanghai fisheries university
上海师范大学	Shanghai Normal University
上海对外经贸大学	Shanghai University of international business and Economics
华东政法大学	East China University of political science and law
上海体育学院	Shanghai Institute of Physical Education
上海音乐学院	Shanghai Conservatory of music
上海戏剧学院	Shanghai Academy of drama
南京工业大学	Nanjing University of Technology
江苏工业学院	Jiangsu Polytechnic University
南京林业大学	Nanjing Forestry University
江苏大学	jiangsu university
盐城工学院	Yancheng Institute of Technology
南京医科大学	Nanjing Medical University
徐州医学院	xuzhou medical college
南京中医药大学	Nanjing University of traditional Chinese Medicine
徐州师范大学	Xuzhou Normal University
淮阴师范学院	huaiyin normal university
盐城师范学院	Yancheng Teachers University
南京体育学院	Nanjing Sport Institute
南京艺术学院	nanjing arts institute
常熟理工学院	Changshu Institute of Technology
浙江工业大学	Zhejiang University of Technology
浙江理工大学	Zhejiang University of Technology
浙江海洋学院	Zhejiang Ocean University
浙江林学院	zhejiang forestry university
温州医科大学	Wenzhou Medical College
浙江中医药大学	zhejiang chinese medical university
浙江师范大学	Zhejiang Normal University
杭州师范大学	Hangzhou Normal University
湖州师范学院	Huzhou Teachers College
绍兴文理学院	Shaoxing University of Arts and Science
台州学院	taizhou university
中国美术学院	China Academy of Fine Arts
中国计量大学	China University of Metrology
安徽工业大学	Anhui University of Technology
安徽理工大学	Anhui University of Technology
安徽工程科技学院	Anhui Institute of Engineering Science and technology
安徽农业大学	Anhui Agricultural University
安徽医科大学	Anhui Medical University
蚌埠医学院	Bengbu Medical College
皖南医学院	Wannan Medical College
安徽中医药大学	Anhui University of traditional Chinese Medicine
安徽师范大学	Anhui Normal University
阜阳幼儿师范高等专科学校	Fuyang Kindergarten Teachers College
安庆师范学院	Anqing Teachers College
淮北煤炭师范学院	Huaibei Teachers' College of Coal Industry
黄山学院	Huangshan University
巢湖学院	Chaohu University
淮南师范学院	huainan normal university
铜陵学院	Tongling University
华侨大学	Overseas Chinese University
福建工程学院	Fujian Institute of Engineering
福建医科大学	Fujian Medical University
福建中医学院	Fujian University of traditional Chinese Medicine
福建师范大学	Fujian Normal University
闽江学院	Minjiang University
泉州师范学院	Quanzhou Normal University
闽南师范大学	Minnan Normal University
华东交通大学	East China Jiaotong University
东华理工学院	Donghua Institute of Technology
南昌航空大学	Nanchang Hangkong University
景德镇陶瓷学院	Jingdezhen Ceramic Institute
江西农业大学	Jiangxi Agricultural University
江西中医药大学	Jiangxi University of traditional Chinese Medicine
赣南医学院	gannan medical university
江西师范大学	Jiangxi Normal University
上饶师范学院	Shangrao Normal University
赣南师范学院	GanNan Normal University
江西财经大学	Jiangxi University of Finance and Economics
山东科技大学	Shandong University of science and technology
青岛科技大学	Qingdao University of science and technology
山东建筑大学	shandong jianzhu university
齐鲁工业大学	Qilu University of Technology
山东农业大学	Shandong Agricultural University
青岛农业大学	Qingdao Agricultural University
潍坊医学院	weifang medical university
泰山医学院	Taishan Medical University
滨州医学院	Binzhou Medical University
山东中医药大学	Shandong University of traditional Chinese Medicine
济宁医学院	jining medical university
山东师范大学	Shandong Normal University
曲阜师范大学	qufu normal university
聊城大学	liaocheng university
德州学院	dezhou university
临沂师范学院	linyi normal university
泰山学院	Taishan University
山东财经大学	Shandong University of Finance and Economics
山东艺术学院	Shandong Art Institute
郑州轻工业学院	Zhengzhou Institute of light industry
河南科技大学	Henan University of science and technology
中原工学院	Zhongyuan Institute of Technology
河南农业大学	Henan Agricultural University
河南中医药大学	Henan University of traditional Chinese Medicine
新乡医学院	Xinxiang Medical College
河南大学	Henan University
河南师范大学	Henan Normal University
信阳师范学院	xinyang normal university
周口师范学院	Zhoukou Normal University
安阳师范学院	Anyang Normal University
许昌学院	xuchang university
南阳师范学院	Nanyang Normal University
洛阳师范学院	Luoyang Normal University
商丘师范学院	shangqiu normal university
河南财经学院	Henan University of Finance and Economics
郑州航空工业管理学院	Zhengzhou Institute of Aeronautical Industry Management
武汉工程大学	Wuhan University of Technology
武汉科技学院	Wuhan University of science and technology
武汉轻工大学	Wuhan Polytechnic University
湖北中医学院	Hubei University of traditional Chinese Medicine
湖北大学	Hubei University
湖北师范学院	Hubei Normal University
黄冈师范学院	Huanggang Normal University
湖北工程学院	Hubei Engineering University
湘潭大学	Xiangtan University
吉首大学	Jishou University
湖南农业大学	Hunan Agricultural University
中南林业科技大学	Central South University of forestry science and technology
湖南中医药大学	Hunan University of traditional Chinese Medicine
湖南理工学院	Hunan Institute of Technology
衡阳师范学院	hengyang normal university
怀化学院	Huaihua University
湖南文理学院	Hunan University of Arts and Science
湖南工商大学	Hunan Business University
汕头大学	Shantou University
华南热带农业大学	South China University of Tropical Agriculture
广东海洋大学	Guangdong Ocean University
广州医学院	Guangzhou Medical College
广东医学院	Guangdong Medical College
广东药学院	Guangdong Pharmaceutical University
韶关学院	shaoguan university
惠州学院	Huizhou University
韩山师范学院	hanshan normal university
湛江师范学院	zhanjiang normal university
肇庆学院	ZhaoQing University
惠州大学	Huizhou University
嘉应学院	Jiaying University
广州体育学院	Guangzhou Institute of Physical Education
广州美术学院	Guangzhou Academy of Fine Arts
星海音乐学院	Xinghai Conservatory of music
广东技术师范学院	Guangdong Normal University of Technology
深圳大学	Shenzhen University
广东财经大学	Guangdong University of Finance and Economics
广西科技大学	Guangxi University of science and technology
桂林电子科技大学	Guilin University of Electronic Science and technology
桂林工学院	Guilin Institute of Technology
广西医科大学	Guangxi Medical University
右江民族医学院	Youjiang Medical College for Nationalities
广西中医学院	Guangxi University of traditional Chinese Medicine
桂林医学院	Guilin Medical College
广西师范大学	Guangxi Normal University
广西师范学院	Guangxi Normal University
河池学院	Hechi University
玉林师范学院	Yulin Normal University
广西艺术学院	Guangxi Art Institute
广西民族大学	Guangxi University for Nationalities
百色学院	baise university
西南石油大学	Southwest Petroleum University
成都理工大学	Chengdu University of Technology
重庆邮电大学	Chongqing University of Posts and Telecommunications
重庆交通大学	chongqing jiaotong university
西南科技大学	Southwest University of science and technology
成都信息工程大学	Chengdu University of Information Engineering
中国民用航空飞行学院	China Civil Aviation Flight Institute
西南农业大学	Southwest Agricultural University
重庆医科大学	Chongqing Medical University
四川医科大学	Sichuan Medical University
成都中医药大学	Chengdu University of TCM
川北医学院	North Sichuan Medical College
四川师范大学	Sichuan Normal University
绵阳师范学院	mianyang normal university
内江师范学院	neijiang normal university
宜宾学院	Yibin university
重庆三峡学院	Chongqing Three Gorges University
四川文理学院	Sichuan University of Arts and Science
长江师范学院	Changjiang Normal University
乐山师范学院	leshan normal university
四川外国语大学	Sichuan International Studies University
西南政法大学	Southwest University of political science and law
成都体育学院	Chengdu Sport University
四川音乐学院	Sichuan Conservatory of music
四川美术学院	Sichuan Academy of Fine Arts
贵州医科大学	Guizhou Medical University
遵义医学院	Zunyi Medical College
贵阳中医学院	Guiyang College of Traditional Chinese Medicine
贵州师范大学	Guizhou Normal University
遵义师范学院	Zunyi Normal College
黔南民族师范学院	Qiannan Normal University for Nationalities
贵州财经学院	Guizhou University of Finance and Economics
贵州民族学院	Guizhou Institute for Nationalities
昆明理工大学	Kunming University of science and technology
云南农业大学	yunnan agricultural university
西南林学院	Southwest Forestry University
昆明医学院	Kunming Medical College
大理大学	Dali University
云南中医学院	Yunnan University of traditional Chinese Medicine
云南师范大学	yunnan normal university
曲靖师范学院	qujing normal university
云南艺术学院	yunnan arts university
西藏民族学院	Tibet Institute for Nationalities
西藏藏医学院	Tibet Tibetan Medical College
西安理工大学	Xi'an University of Technology
西安工业大学	Xi'an Technological University
西安建筑科技大学	Xi'an University of architecture and technology
陕西科技大学	Shaanxi University of science and technology
西安工程大学	Xi'an University of Technology
陕西中医药大学	Shaanxi University of traditional Chinese Medicine
延安大学	Yan'an University
咸阳师范学院	Xianyang Normal University
渭南师范学院	Weinan Teachers College
西安外国语大学	Xi'an Foreign Studies University
西安体育学院	Xi'an Institute of Physical Education
西安音乐学院	Xi'an Conservatory of music
西安美术学院	Xi'an Academy of Fine Arts
兰州理工大学	Lanzhou University of Technology
甘肃农业大学	Gansu Agricultural University
甘肃中医学院	Gansu University of traditional Chinese Medicine
西北师范大学	Northwest Normal University
天水师范学院	Tianshui Normal University
河西学院	Hexi University
兰州财经大学	Lanzhou University of Finance and Economics
青海师范大学	Qinghai Normal University
青海民族学院	Qinghai Institute for Nationalities
宁夏医学院	Ningxia Medical College
塔里木大学	Tarim University
新疆农业大学	Xinjiang Agricultural University
新疆师范大学	xinjiang normal university
喀什大学	Kashgar University
伊犁师范学院	Yili Normal University
新疆财经学院	Xinjiang University of Finance and Economics
新疆艺术学院	Xinjiang Arts Institute
北京信息科技大学	Beijing University of information technology
天津城建大学	Tianjin Chengjian University
河北科技师范学院	Hebei Normal University of science and technology
山西中医学院	Shanxi College of traditional Chinese Medicine
呼伦贝尔学院	Hulun Buir College
上海工程技术大学	Shanghai University of engineering and technology
浙江万里学院	zhejiang wanli university
安徽建筑大学	Anhui Jianzhu University
枣庄学院	Zaozhuang University
山东工艺美术学院	Shandong Institute of Arts and crafts
平顶山学院	Pingdingshan University
湖北科技学院	Hubei University of science and technology
郧阳医学院	Yunyang Medical College
昌吉学院	changji university
沈阳大学	Shenyang University
淮阴工学院	Huaiyin Institute of Technology
徐州工程学院	Xuzhou Institute of Engineering
常州工学院	Changzhou Institute of Technology
浙江科技学院	Zhejiang University of science and technology
宁波工程学院	Ningbo Institute of Engineering
合肥学院	hefei university
烟台大学	Yantai University
中州大学	zhongzhou university
开封大学	kaifeng university
洛阳理工学院	Luoyang Institute of Technology
新乡学院	Xinxiang University
江汉大学	Jianghan University
沙市大学	Shashi University
广州大学	Guangzhou University
成都大学	Chengdu University
华北科技学院	North China University of science and technology
中国人民武装警察部队学院	Chinese people's Armed Police Force Academy
广东警官学院	Guangdong police academy
扬州大学	yangzhou university
齐齐哈尔医学院	qiqihar medical university
北京机械工业学院	Beijing Institute of Mechanical Technology
河北体育学院	Hebei Institute of Physical Education
大连民族大学	Dalian Nationalities University
大连大学	Dalian University
南京审计学院	Nanjing Audit University
温州大学	Wenzhou University
江西科技师范学院	Jiangxi Normal University of science and technology
仲恺农业技术学院	Zhongkai Agricultural Technology College
五邑大学	Wuyi University
攀枝花学院	Panzhihua University
玉溪师范学院	yuxi normal university
楚雄师范学院	Chuxiong Normal University
甘肃政法学院	Gansu College of Political Science and Law
北方民族大学	North University for Nationalities
北京联合大学	Beijing Union University
佳木斯大学	jiamusi university
浙江财经大学	Zhejiang University of Finance and Economics
莆田学院	Putian University
山东交通学院	shandong jiaotong university
焦作大学	jiaozuo university
武汉音乐学院	Wuhan Conservatory of music
兰州文理学院	Lanzhou University of Arts and Science
中国青年政治学院	China Youth Political College
北京青年政治学院	Beijing Youth Political College
淮海工学院	Huaihai Institute of Technology
宁波大学	Ningbo University
南阳理工学院	Nanyang Institute of Technology
广东石油化工学院	Guangdong Institute of petroleum and chemical engineering
海南师范大学	Hainan Normal University
重庆理工大学(原重庆工学院)	Chongqing University of Technology (former Chongqing Institute of Technology)
西安邮电学院	Xi'an University of Posts and Telecommunications
山东工商学院	Shandong Institute of technology and technology
长春大学	changchun university
平顶山工学院	Pingdingshan Institute of Technology
防灾科技学院	College of disaster prevention and technology
海南医学院	Hainan Medical College
东莞理工学院	Dongguan Institute of Technology
山东财政学院	Shandong University of Finance
首钢工学院	Shougang Institute of Technology
上海政法学院	Shanghai University of political science and law
集美大学	Jimei University
宝鸡文理学院	Baoji University of Arts and Science
青岛大学	Qingdao University
佛山科学技术学院	Foshan Institute of science and technology
广东外语外贸大学	Guangdong University of Foreign Studies
广东工业大学	Guangdong University of Technology
首都经济贸易大学	Capital University of economics and trade
哈尔滨理工大学	Harbin University of Technology
武汉科技大学	Wuhan University of science and technology
重庆电力高等专科学校	Chongqing Electric Power College
河北经贸大学	Hebei University of economics and trade
河北中医学院	Hebei College of Traditional Chinese Medicine
河北农业大学	Hebei Agricultural University
北京工商大学	Beijing Business University
内蒙古农业大学	Inner Mongolia Agricultural University
北华大学	Beihua University
新疆医科大学	xinjiang medical university
嘉兴学院	Jiaxing University
长春工程学院	Changchun Institute of Engineering
哈尔滨学院	Harbin University
黑龙江工程学院	Heilongjiang Institute of Engineering
南京晓庄学院	Nanjing Xiaozhuang University
皖西学院	Wanxi University
潍坊学院	Weifang University
三峡大学	Three Gorges University
南华大学	South China University
四川警察学院	Sichuan Police College
宜春学院	yichun university
济南大学	Jinan University
内蒙古民族大学	Inner Mongolia University for Nationalities
福建农林大学	Fujian agriculture and Forestry University
湖南工程学院	Hunan Institute of Engineering
南京工程学院	Nanjing Institute of Technology
苏州科技学院	Suzhou Institute of science and technology
陕西理工学院	Shaanxi Institute of Technology
西安财经学院	Xi'an University of Finance and Economics
中华女子学院	China Women's College
九江学院	Jiujiang University
湖北经济学院	Hubei Institute of Economics
唐山学院	tangshan college
邵阳学院	shaoyang university
湖南城市学院	hunan city university
山东理工大学	Shandong University of Technology
中央司法警官学院	Central Judicial Police Academy
重庆师范大学涉外商贸学院	School of foreign trade and business, Chongqing Normal University
成都医学院	Chengdu Medical College
吉林医药学院	Jilin Medical College
黑河学院	heihe university
山东政法学院	Shandong University of political science and law
内蒙古科技大学包头师范学院	Baotou Normal College of Inner Mongolia University of science and technology
四川理工学院	Sichuan Institute of Technology
辽东学院	Liaodong University
解放军信息工程大学	PLA Information Engineering University
解放军理工大学	PLA University of Technology
解放军外国语学院	PLA Foreign Language Institute
解放军西安通信学院	Xi'an Communication College of PLA
郑州防空兵学院	Zhengzhou Air Defense Academy
西安政治学院	Xi'an Political College
海军工程大学	Naval Engineering University
空军工程大学	Air Force Engineering University
桂林空军学院	Guilin Air Force Academy
空军第一航空学院	Air force first aviation academy
上海第二工业大学	Shanghai Second University of Technology
浙江教育学院	Zhejiang Institute of Education
河南教育学院	Henan Institute of Education
湖北第二师范学院	Hubei University of Education
十堰教育学院	Shiyan Institute of Education
上海市广播电视大学	Shanghai radio and TV University
山东体育学院	shandong sports institute
安徽财经大学	Anhui University of Finance and Economics
北华航天工业学院	Beihua Institute of Aerospace Technology
北京大学医学部	Peking University Medical Department
北京工业大学(实验学院)	Beijing University of Technology (experimental College)
长江大学	Changjiang University
长沙理工大学	Changsha University of Technology
长沙学院	changsha university
大连交通大学	Dalian Jiaotong University
广东金融学院	Guangdong University of Finance
广西财经学院	Guangxi University of Finance and Economics
杭州电子科技大学	Hangzhou University of Electronic Science and technology
河北工程大学	Hebei Engineering University
河南工业大学	Henan University of Technology
河南理工大学	Henan University of Technology
红河学院	Honghe University
湖南工业大学	Hunan University of Technology
湖南科技大学	Hunan University of science and technology
华北水利水电大学	North China University of water resources and hydropower
黄淮学院	Huanghuai University
吉林华侨外国语学院	Jilin Huaqiao Foreign Languages Institute
江苏科技大学	Jiangsu University of science and technology
江西理工大学	Jiangxi University of Technology
金陵科技学院	Jinling University of science and technology
井冈山大学	Jinggangshan University
兰州交通大学	Lanzhou Jiaotong University
内蒙古科技大学	Inner Mongolia University of science and technology
南昌大学医学院	School of medicine, Nanchang University
南昌工程学院	Nanchang Institute of Engineering
南京财经大学	Nanjing University of Finance and Economics
南京信息工程大学	Nanjing University of Information Engineering
南京邮电大学	Nanjing University of Posts and Telecommunications
南通大学	Nantong University
青岛理工大学	qingdao technological university
上海海事大学	Shanghai Maritime University
上海商学院	Shanghai Business School
沈阳建筑大学	Shenyang Jianzhu University
沈阳理工大学	Shenyang Ligong University
首都师范大学科德学院	Kede College of Capital Normal University
太原科技大学	Taiyuan University of science and technology
天津财经大学	Tianjin University of Finance and Economics
天津工程师范学院	Tianjin Normal University of Engineering
西安科技大学	Xi'an University of science and technology
西安石油大学	Xi'an Shiyou University
西安文理学院	Xi'an University of Arts and Science
西北民族大学	NORTHWEST UNIVERSITY FOR NATIONALITIES
西华师范大学	Xihua Normal University
西南民族大学	SOUTHWEST UNIVERSITY FOR NATIONALITIES
香港城市大学	City University of Hong Kong
香港中文大学	Chinese University of Hong Kong
浙江工商大学	Zhejiang Gongshang University
中北大学	North China University
太原工业学院	Taiyuan Institute of Technology
中国劳动关系学院	China Institute of labor relations
重庆工商大学	Chongqing Business University
重庆科技学院	Chongqing University of science and technology
重庆师范大学	Chongqing Normal University
重庆文理学院	Chongqing University of Arts and Science
云南民族大学	Yunnan University for Nationalities
湖北工业大学	Hubei University of Technology
西华大学	Xihua University
厦门理工学院	Xiamen Institute of Technology
长春中医药大学	Changchun University of traditional Chinese Medicine
云南财经大学	Yunnan University of Finance and Economics
新疆财经大学	Xinjiang University of Finance and Economics
宁波诺丁汉大学	Ningbo University of Nottingham
香港科技大学	Hong Kong University of science and technology
香港大学	University of Hong Kong
香港理工大学	Hong Kong Polytechnic University
香港浸会大学	Hong Kong Baptist University
香港岭南大学	Lingnan University
香港教育学院	Hong Kong Institute of Education
西交利物浦大学	Xi'an Jiaotong Liverpool University
梧州学院	wuzhou university
山西大同大学	shanxi datong university
河北北方学院	Hebei North University
衡水学院	hengshui university
河南科技学院	Henan University of science and technology
吉林农业科技学院	Jilin Agricultural Science and Technology College
鲁东大学	ludong university
滨州学院	binzhou university
河北理工大学	Hebei University of Technology
安徽科技学院	Anhui University of science and technology
安阳工学院	Anyang Institute of Technology
湖北理工学院	Hubei Institute of Technology
渤海大学	Bohai University
解放军军事经济学院	PLA Academy of Military Economics
解放军南京政治学院	Nanjing Political College of PLA
南方医科大学	Southern Medical University
中国人民解放军工程兵指挥学院	PLA Engineering Command College
中国人民解放军军事交通学院	Military Transportation College of PLA
石家庄学院	Shijiazhuang University
邯郸学院	Handan College
河北金融学院	Hebei Finance University
菏泽学院	Heze University
山东警察学院	shandong police college
济宁学院	Jining University
长治学院	changzhi university
滁州学院	Chuzhou University
宿州学院	suzhou university
东华理工大学	East China University of Technology
丽水学院	lishui university
湘南学院	XiangNan University
贺州学院	Hezhou University
钦州学院	Qinzhou University
西昌学院	Xichang University
榆林学院	yulin university
西安医学院	Xian Medical College
西北政法大学	Northwest University of political science and law
安康学院	Ankang University
宁夏师范学院	NingXia Teachers University
吉林工商学院	Jilin Institute of technology and technology
琼州学院	qiongzhou university
三明学院	sanming university
龙岩学院	longyan university
陇东学院	Longdong University
澳门科技大学	Macau University of science and technology
澳门旅游学院	Macau Institute of Tourism
河北工程技术高等专科学校	Hebei Engineering and Technical College
承德民族师范高等专科学校	Chengde normal college for Nationalities
抚顺师范高等专科学校	Fushun Teachers College
锦州师范高等专科学校	jinzhou teacher's training college
铁岭师范高等专科学校	Tieling Teachers College
哈尔滨医科大学	Harbin Medical Sciences University
大庆师范学院	Daqing Normal University
哈尔滨金融高等专科学校	Harbin finance college
上海公安学院	Shanghai Public Security College
江苏警官学院	Jiangsu Police Institute
宁德师范高等专科学校	Ningde Teachers College
菏泽医学专科学校	Heze Medical College
郑州牧业工程高等专科学校	Zhengzhou Animal Husbandry Engineering College
